distance_km,turn_count,hour_of_day,day_of_week,hazard_count,avg_speed_limit,eta_minutes
15.16,11,5,2,0,75,23.29
14.08,1,17,2,5,38,29.08
37.76,3,0,4,2,60,41.59
17.36,1,8,6,3,37,35.9
20.34,2,18,5,5,33,42.44
40.65,9,2,1,0,65,48.99
30.51,19,7,6,4,54,54.36
22.41,18,13,2,4,69,36.02
48.03,3,6,5,1,46,68.26
8.27,5,17,0,1,30,23.81
34.62,15,9,0,1,48,67.33
35.3,14,2,5,1,46,64.03
31.44,6,13,0,4,44,52.38
45.47,4,2,0,1,80,37.11
37.57,18,9,3,0,59,64.16
35.14,8,16,4,3,58,42.0
2.47,13,23,2,4,46,16.5
11.83,18,18,0,5,47,39.76
38.27,5,15,4,5,58,51.01
9.48,18,13,5,3,35,35.54
20.71,10,21,0,1,51,34.25
25.03,12,17,0,3,35,59.74
16.5,12,16,6,0,72,27.65
23.37,1,6,4,2,69,23.46
31.46,1,6,2,4,38,57.18
22.19,15,3,0,5,68,39.3
35.63,9,17,0,4,56,49.7
49.62,3,14,0,5,39,81.81
35.97,16,22,2,3,60,58.61
12.56,17,4,3,1,68,28.63
44.03,2,8,6,3,51,66.11
25.63,0,9,5,2,67,26.77
33.17,4,14,4,3,52,42.3
38.26,12,14,2,1,74,41.25
19.46,13,1,2,5,60,36.39
40.66,12,21,6,5,39,76.99
2.33,16,18,2,0,58,18.63
45.57,0,23,1,3,71,43.77
4.2,8,10,4,5,55,17.09
42.66,17,12,2,5,75,57.79
24.65,17,1,4,0,45,51.18
46.09,7,23,0,3,36,89.75
35.34,3,14,1,5,49,52.71
2.78,1,9,2,2,57,5.03
26.79,18,21,6,1,40,54.88
30.67,12,19,5,1,61,50.81
7.58,14,20,2,3,46,26.24
45.0,14,9,5,4,40,84.02
47.29,18,9,5,3,74,60.45
42.34,6,12,6,3,36,73.97
28.81,18,9,5,2,31,90.1
33.08,8,0,4,5,79,37.37
2.93,19,23,3,2,79,23.55
30.55,11,7,5,1,69,36.17
37.9,4,20,0,5,71,34.98
39.54,1,18,2,5,38,66.57
15.11,13,5,1,1,80,25.03
48.59,16,16,2,1,46,86.49
47.24,9,23,6,2,37,86.05
4.23,7,21,5,5,55,15.43
40.33,11,2,6,3,30,88.77
6.62,11,21,5,5,46,22.51
41.21,11,3,5,1,60,47.7
44.27,17,10,4,1,71,55.13
41.28,9,20,3,0,38,67.44
2.34,15,3,0,1,64,16.41
22.96,17,13,4,5,76,35.02
21.04,3,15,4,3,47,28.43
18.84,14,14,1,2,36,50.87
18.68,20,11,0,3,47,42.54
6.55,14,2,5,1,71,20.59
48.57,1,10,1,1,80,42.26
3.9,17,6,4,1,44,22.03
7.8,19,0,2,1,38,32.08
40.03,3,21,6,0,38,59.78
39.6,7,18,2,0,41,68.1
6.77,13,16,0,5,34,27.32
39.01,16,18,0,3,62,57.39
30.95,16,9,3,5,31,78.66
24.21,12,13,5,0,61,37.33
22.46,2,10,4,1,34,42.88
31.4,18,17,5,2,54,65.15
26.76,14,16,4,3,36,63.63
6.16,20,20,6,4,76,28.83
21.79,7,13,2,3,55,31.73
5.21,13,10,5,2,53,23.87
34.5,15,2,0,0,35,73.13
37.36,11,4,4,0,67,48.51
28.3,3,13,2,5,78,26.85
45.83,1,9,4,2,52,55.59
25.62,4,21,3,1,36,45.78
28.04,3,8,4,1,57,38.82
48.74,19,19,5,5,65,66.21
46.49,8,0,1,2,74,49.14
46.12,11,0,1,1,66,55.1
3.94,20,0,0,5,63,24.76
21.28,10,5,2,2,76,26.82
47.1,19,2,0,1,40,94.74
2.96,2,8,3,5,57,8.36
22.38,8,6,6,4,37,44.86
5.99,18,15,4,5,49,25.3
20.07,19,1,0,1,49,48.0
38.48,8,9,2,0,30,93.42
21.82,4,12,4,5,44,36.25
41.75,11,2,3,5,32,90.61
23.26,2,10,4,3,66,26.59
32.19,9,3,3,0,50,44.5
47.41,14,22,2,0,57,68.3
12.54,18,12,4,0,55,34.03
37.42,7,10,6,1,34,81.05
6.14,16,6,6,2,52,25.19
41.04,4,7,0,1,46,54.51
30.32,20,2,1,5,61,51.94
28.4,18,14,5,4,71,45.19
31.41,20,10,1,3,34,84.1
31.75,8,18,0,2,62,39.98
23.36,1,1,2,2,34,44.47
48.88,2,19,4,4,54,63.66
27.94,1,14,6,4,71,24.95
30.45,16,4,0,3,36,72.49
41.95,2,16,5,1,32,77.06
22.17,14,16,4,4,40,47.91
45.94,12,13,6,2,73,51.75
39.57,20,10,0,2,36,96.75
19.63,8,23,6,5,68,29.9
17.0,18,21,1,2,49,43.54
35.07,12,4,4,5,35,71.79
19.15,10,4,5,5,77,30.14
45.67,2,20,5,3,62,46.38
18.45,5,6,2,3,42,31.06
7.31,2,9,6,0,62,10.52
41.84,16,1,5,2,79,49.93
30.06,4,5,1,5,79,30.06
45.18,14,1,3,2,73,54.43
48.49,19,9,6,5,80,63.01
26.93,9,15,6,1,53,41.42
28.74,14,14,6,2,79,35.95
26.61,5,6,6,4,38,52.67
3.08,15,11,4,0,75,18.67
42.63,9,2,6,1,47,63.28
25.91,13,2,1,3,52,48.22
21.04,12,16,2,1,54,39.42
19.06,0,10,0,5,71,19.79
7.73,1,9,6,3,74,10.28
38.06,15,14,4,0,35,72.53
11.17,4,17,5,4,63,18.03
38.92,7,9,0,0,45,63.74
39.8,14,2,0,3,68,50.98
31.78,18,7,5,1,48,57.4
30.93,7,18,3,1,72,37.84
26.41,11,2,4,4,62,40.77
25.63,0,12,6,3,32,50.9
49.06,8,23,0,2,80,41.84
12.44,20,3,6,4,77,33.32
7.1,11,17,2,5,41,28.02
34.39,15,20,1,1,34,79.48
47.21,1,9,1,0,80,37.64
2.57,9,16,3,4,60,12.9
37.79,6,9,2,0,71,40.32
6.66,11,13,3,5,58,22.0
19.64,5,15,5,3,53,31.17
26.2,2,23,3,0,57,30.19
41.21,17,9,2,0,35,93.08
15.13,14,19,5,3,40,43.62
17.9,1,23,6,2,69,19.32
14.09,1,2,5,5,55,18.36
40.15,5,0,1,4,73,42.25
2.22,2,7,6,5,53,6.82
47.5,1,19,1,5,58,63.1
18.91,2,18,1,4,53,27.38
32.65,7,3,0,5,41,57.27
19.66,17,3,2,2,75,33.36
49.82,9,22,3,1,37,83.71
4.17,5,22,3,0,73,9.21
49.34,11,22,0,4,64,56.77
15.35,5,22,5,5,70,19.31
18.39,7,3,1,1,45,33.88
1.8,17,18,2,3,65,20.54
44.27,2,9,3,5,76,43.21
20.83,13,18,0,1,50,43.56
22.77,16,11,1,4,70,38.18
38.51,4,13,4,0,37,66.68
15.55,5,10,5,1,52,28.1
26.19,9,2,2,1,70,34.86
14.09,20,9,4,4,35,50.79
8.85,18,4,1,5,69,29.44
30.45,18,1,6,0,35,63.83
32.25,18,8,5,1,79,47.98
31.1,0,15,5,4,48,42.03
15.45,7,21,3,2,59,21.69
3.47,14,13,3,3,43,19.69
7.61,10,23,6,2,55,17.88
18.84,17,3,2,1,59,33.89
22.76,4,3,0,2,54,32.49
21.2,5,10,4,5,50,33.98
8.39,16,14,3,2,61,22.84
47.29,16,14,1,1,67,57.12
3.0,15,19,6,5,73,21.83
27.07,3,13,1,2,76,24.69
20.46,1,12,0,4,65,20.55
27.88,2,12,4,3,78,25.2
41.35,19,21,4,0,38,92.3
20.0,10,17,2,1,42,43.86
20.37,1,1,0,1,75,17.2
23.95,14,4,4,4,38,51.96
30.85,5,12,4,5,49,46.12
25.61,16,17,3,5,66,44.12
40.88,11,10,5,0,56,61.29
39.94,20,0,4,3,46,80.47
39.25,18,18,1,5,33,102.75
8.94,20,23,4,3,39,37.52
12.49,18,22,0,1,31,42.17
21.23,13,22,1,3,62,36.97
46.07,1,22,1,4,43,68.1
49.91,15,16,3,2,41,88.32
26.89,17,11,5,5,73,42.79
34.82,19,15,1,1,47,64.69
11.63,9,9,5,1,74,21.68
16.19,11,17,6,5,47,35.99
28.89,17,12,3,2,79,42.37
14.88,9,22,0,2,58,26.18
37.49,6,6,6,4,47,60.7
34.96,4,3,4,5,67,35.84
3.01,16,7,5,1,33,20.22
16.85,15,3,5,1,30,53.77
48.91,5,13,5,3,60,57.07
37.92,9,10,2,5,33,95.7
4.93,18,7,4,5,76,26.1
2.35,5,13,6,1,32,10.88
20.15,15,5,5,2,32,48.5
28.61,3,10,2,3,71,31.82
24.95,4,16,3,2,42,43.15
16.87,14,20,2,5,41,37.18
17.19,9,18,5,1,41,38.96
32.12,12,13,4,2,35,66.71
5.22,4,15,2,1,30,14.23
12.16,8,10,2,4,76,21.87
13.45,11,22,1,0,72,20.51
15.69,12,21,4,5,79,25.42
6.31,9,11,4,1,44,19.76
24.17,14,23,4,2,56,42.55
45.68,17,21,6,1,78,49.98
37.86,2,16,3,4,75,33.34
45.9,3,1,6,4,62,46.48
27.06,5,10,6,4,58,35.54
10.67,18,15,0,4,58,32.95
22.94,16,13,3,4,33,60.42
33.8,9,23,0,3,46,58.04
37.42,18,2,0,3,52,65.19
27.29,1,2,3,0,48,34.47
38.56,20,23,5,3,53,71.58
19.43,12,12,0,5,72,32.99
7.08,11,3,1,4,55,20.85
36.53,7,0,6,0,49,51.35
36.1,13,17,3,1,45,67.26
8.18,6,23,6,0,32,22.66
21.25,0,7,1,0,36,36.09
22.6,1,7,5,0,55,25.34
27.22,1,4,4,2,44,41.59
36.71,10,18,4,5,50,58.93
43.87,16,7,3,2,47,66.6
47.45,5,20,5,3,65,50.26
48.63,20,21,3,4,50,83.51
20.71,9,12,1,4,60,30.07
11.65,4,14,0,4,56,20.22
28.09,4,12,1,2,43,42.69
4.41,14,11,0,4,76,20.77
3.05,12,21,4,4,32,21.19
9.81,18,23,5,4,43,33.56
43.54,10,9,0,1,42,87.36
6.31,15,7,5,4,75,20.74
45.8,17,10,6,2,54,75.26
32.61,9,8,2,4,61,47.06
40.24,15,10,1,2,50,69.5
28.34,7,23,1,0,46,44.44
29.41,13,9,1,1,51,50.05
28.7,7,15,4,5,73,32.02
38.29,15,23,5,5,61,54.73
36.77,11,5,1,5,64,47.86
45.89,17,20,0,4,32,112.16
4.18,1,0,3,1,70,4.81
35.5,0,6,4,3,53,38.03
32.07,19,15,5,3,31,74.42
27.81,0,0,4,5,47,38.27
14.69,16,22,5,3,41,35.93
5.27,4,7,1,4,63,10.47
18.04,12,2,2,3,59,32.26
49.52,7,9,5,0,71,59.01
32.67,1,2,3,3,54,39.21
3.28,0,22,1,0,61,3.45
32.42,10,18,6,0,63,48.74
11.87,18,15,2,0,34,40.39
14.38,17,18,5,0,41,45.43
16.07,6,18,1,5,55,31.09
15.31,18,7,4,3,73,34.63
16.92,4,22,5,0,62,21.38
17.62,3,13,1,0,51,24.23
30.89,19,12,6,2,31,81.92
39.29,14,15,1,2,65,55.79
21.88,18,21,3,0,79,35.44
40.0,2,2,2,1,54,48.94
31.88,12,10,2,0,35,66.06
15.76,11,8,0,1,35,39.72
22.72,17,16,3,0,31,55.97
27.93,19,19,6,2,54,50.67
20.98,2,23,4,1,66,21.67
34.42,5,4,2,2,47,49.88
3.63,13,8,3,2,60,20.49
18.38,7,23,5,3,68,25.29
23.16,4,9,0,3,51,38.49
19.3,10,14,2,3,71,30.45
7.24,10,19,5,1,60,18.79
48.25,10,9,5,5,70,59.13
29.01,7,10,3,2,80,32.03
6.14,18,6,4,4,41,30.03
27.73,14,22,1,3,48,53.49
3.92,13,21,3,1,70,16.2
13.01,4,22,3,3,34,28.16
30.1,18,12,4,4,74,43.68
2.32,11,22,6,4,68,15.46
4.71,7,21,5,2,40,15.5
2.69,20,21,5,3,78,22.78
39.91,3,0,0,2,44,58.55
26.18,18,22,4,1,58,44.44
23.42,18,22,4,1,52,50.06
24.4,9,13,0,0,76,26.24
15.94,14,6,4,3,52,33.73
22.19,14,10,0,2,32,66.13
6.2,10,20,0,5,40,23.67
37.15,16,5,4,1,51,60.93
47.94,7,12,5,1,41,79.84
21.89,0,23,4,1,58,23.57
19.75,6,6,2,5,80,21.27
5.54,17,5,2,2,42,25.69
13.49,15,16,5,2,68,27.28
19.93,3,11,2,3,69,20.4
33.84,9,19,4,0,73,37.53
6.33,9,3,1,2,74,14.05
19.73,19,4,4,3,57,38.67
31.96,20,5,4,1,61,49.74
9.76,14,19,0,2,30,37.86
10.16,12,17,4,5,61,26.45
24.84,14,15,1,0,66,33.15
38.17,9,1,2,1,64,43.37
39.15,18,23,6,3,65,55.76
28.85,8,17,6,2,64,42.21
2.56,14,17,1,3,36,22.77
32.86,7,9,6,0,58,42.95
43.18,2,14,6,0,79,36.96
10.89,18,22,2,5,69,30.76
8.72,4,6,6,1,33,20.63
26.85,19,17,1,2,75,43.73
28.85,16,21,6,0,38,67.25
39.39,1,8,6,5,38,75.18
7.07,4,22,2,1,78,10.62
19.94,4,18,5,2,70,23.88
22.87,20,2,3,4,77,38.06
46.85,11,14,3,2,67,48.59
38.82,2,23,3,5,72,38.3
42.58,17,12,1,3,43,77.83
16.48,9,10,4,4,38,41.27
24.52,10,21,6,0,32,51.5
39.3,14,0,0,1,58,54.68
49.6,13,6,5,1,71,53.22
43.78,8,2,5,2,46,60.59
33.39,20,5,0,3,70,48.17
35.12,7,13,5,0,75,32.26
11.06,2,4,4,1,63,13.51
0.96,10,3,6,3,74,11.37
4.01,12,2,5,0,36,17.98
44.11,4,12,6,1,71,45.89
7.57,16,18,0,4,71,25.04
17.88,6,20,5,1,56,26.26
22.4,6,2,0,1,78,21.94
36.64,11,13,2,1,45,57.66
4.67,17,19,4,5,68,24.87
47.09,0,21,2,1,63,46.32
9.84,12,9,5,0,80,23.01
47.76,15,12,0,1,61,64.2
4.02,0,11,2,1,54,5.32
28.63,11,17,5,1,78,36.67
